Numero di storicizzazione,Cantone,Numero del Distretto,Nome del Distretto,Numero UST del Comune,Nome del Comune
13256,ZH,101,Affoltern,1,Aeugst am Albis
11742,ZH,101,Affoltern,2,Affoltern am Albis
11801,ZH,101,Affoltern,3,Bonstetten
11992,ZH,101,Affoltern,4,Hausen am Albis
12249,ZH,101,Affoltern,5,Hedingen
12671,ZH,101,Affoltern,6,Kappel am Albis
12674,ZH,101,Affoltern,7,Knonau
12738,ZH,101,Affoltern,8,Maschwanden
12433,ZH,101,Affoltern,9,Mettmenstetten
12497,ZH,101,Affoltern,10,Obfelden
13124,ZH,101,Affoltern,11,Ottenbach
12891,ZH,101,Affoltern,12,Rifferswil
10575,ZH,101,Affoltern,13,Stallikon
13255,ZH,101,Affoltern,14,Wettswil am Albis
11862,ZH,102,Andelfingen,22,Benken (ZH)
11855,ZH,102,Andelfingen,23,Berg am Irchel
15513,ZH,102,Andelfingen,24,Buch am Irchel
11573,ZH,102,Andelfingen,25,Dachsen
12182,ZH,102,Andelfingen,26,Dorf
11973,ZH,102,Andelfingen,27,Feuerthalen
11997,ZH,102,Andelfingen,28,Flaach
11935,ZH,102,Andelfingen,29,Flurlingen
12240,ZH,102,Andelfingen,31,Henggart
12699,ZH,102,Andelfingen,33,Kleinandelfingen
12635,ZH,102,Andelfingen,34,Laufen-Uhwiesen
12742,ZH,102,Andelfingen,35,Marthalen
13128,ZH,102,Andelfingen,37,Ossingen
12912,ZH,102,Andelfingen,38,Rheinau
10563,ZH,102,Andelfingen,39,Thalheim an der Thur
10898,ZH,102,Andelfingen,40,Trullikon
10899,ZH,102,Andelfingen,41,Truttikon
10365,ZH,102,Andelfingen,43,Volken
11683,ZH,103,Bulach,51,Bachenbulach
11685,ZH,103,Bulach,52,Bassersdorf
11461,ZH,103,Bulach,53,Bulach
11563,ZH,103,Bulach,54,Dietlikon
12168,ZH,103,Bulach,55,Eglisau
12292,ZH,103,Bulach,56,Embrach
11960,ZH,103,Bulach,57,Freienstein-Teufen
12056,ZH,103,Bulach,58,Glattfelden
12166,ZH,103,Bulach,59,Hochfelden
12220,ZH,103,Bulach,60,Hori
12178,ZH,103,Bulach,61,Huntwangen
12673,ZH,103,Bulach,62,Kloten
12720,ZH,103,Bulach,63,Lufingen
12547,ZH,103,Bulach,64,Nurensdorf
12524,ZH,103,Bulach,65,Oberembrach
12483,ZH,103,Bulach,66,Opfikon
13090,ZH,103,Bulach,67,Rafz
12919,ZH,103,Bulach,68,Rorbas
10451,ZH,103,Bulach,69,Wallisellen
10443,ZH,103,Bulach,70,Wasterkingen
10268,ZH,103,Bulach,71,Wil (ZH)
10331,ZH,103,Bulach,72,Winkel
11704,ZH,104,Dielsdorf,81,Bachs
11786,ZH,104,Dielsdorf,82,Boppelsen
11456,ZH,104,Dielsdorf,83,Buchs (ZH)
11578,ZH,104,Dielsdorf,84,Dallikon
11581,ZH,104,Dielsdorf,85,Danikon
11567,ZH,104,Dielsdorf,86,Dielsdorf
12181,ZH,104,Dielsdorf,87,Huttikon
12537,ZH,104,Dielsdorf,88,Neerach
12534,ZH,104,Dielsdorf,89,Niederglatt
12560,ZH,104,Dielsdorf,90,Niederhasli
12568,ZH,104,Dielsdorf,91,Niederweningen
12469,ZH,104,Dielsdorf,92,Oberglatt
12447,ZH,104,Dielsdorf,93,Oberweningen
13126,ZH,104,Dielsdorf,94,Otelfingen
13166,ZH,104,Dielsdorf,95,Regensberg
13168,ZH,104,Dielsdorf,96,Regensdorf
12834,ZH,104,Dielsdorf,97,Rumlang
13046,ZH,104,Dielsdorf,98,Schleinikon
13037,ZH,104,Dielsdorf,99,Schofflisdorf
10383,ZH,104,Dielsdorf,100,Stadel
10597,ZH,104,Dielsdorf,101,Steinmaur
10448,ZH,104,Dielsdorf,102,Weiach
11709,ZH,105,Hinwil,111,Baretswil
11478,ZH,105,Hinwil,112,Bubikon
