index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;36644.98357512;26114.81588112;24219.3856962;41278.25736048;53703.8552394;39172.223821679996;9687.75427848;15163.441479359999;245984.71733184
1;37860.5208;26981.060800000003;25022.758;42647.4832;55485.246;40471.5912;10009.1032;15666.422400000001;254144.1856
2;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
3;40756.368;29044.768;26936.68;45909.472;59729.16;43567.152;10774.672;16864.704;273582.976
4;44832.004799999995;31949.244799999997;29630.347999999998;50500.4192;65702.076;47923.86719999999;11852.1392;18551.1744;300941.27359999996
5;56022.126824880004;39923.814518880004;37026.1183038;63105.384239520004;82101.3927606;59885.72177832;14810.44732152;23181.56972064;376056.57546816004
6;62385.84757512;44458.87988112;41232.0256962;70273.71336048;91427.53523940001;66688.31982168001;16492.81027848;25814.83347936;418773.96533184004
7;63458.383575119995;45223.21588112;41940.8856962;71481.85736047999;92999.3552394;67834.82382168;16776.354278479997;26258.641479359998;425973.51733183995
8;60741.285224880005;43286.89291888;40145.102303800006;68421.21783952;89017.40076060001;64930.33937832001;16058.040921520002;25134.324920640003;407734.60426816
9;56701.40677512;40407.89908112;37475.0676962;63870.55016048;83096.8892394;60611.84862168;14990.02707848;23462.65107936;380616.33973184
10;54163.068;38598.968;35797.43;61011.272;79376.91;57898.452;14318.972;22412.304;363577.376
11;50623.6992;36076.6592;33458.192;57024.3968;74189.90400000001;54114.9888;13383.276800000001;20947.7376;339818.8544
12;49229.402400000006;35083.0224;32536.674000000003;55453.8096;72146.538;52624.5336;13014.669600000001;20370.787200000002;330459.4368
13;47441.83882488;33809.126518879995;31355.238303799997;53440.232239519995;69526.8327606;50713.68977832;12542.095321519999;19631.10572064;318460.15946816
14;48335.62597512;34446.07828112;31945.9596962;54447.02696048;70836.6932394;51669.11742168;12778.38387848;20000.94867936;324459.83413184
15;48299.86762488;34420.59531888;31922.3263038;54406.74743952;70784.2887606;51630.89297832;12768.93052152;19986.15212064;324219.80106816
16;45690.0336;32560.7136;30197.435999999998;51466.9344;66959.53199999999;48841.0704;12078.9744;18906.2208;306700.9152
17;41221.13002488;29375.97771888;27243.8503038;46432.99703952;60410.2767606;44063.96657832;10897.54012152;17057.01932064;276702.75786816
18;40041.34042488;28535.20811888;26464.104303800003;45104.038639520004;58681.274760600005;42802.812178320004;10585.64172152;16568.83052064;268783.25066816004
19;40827.873975120005;29095.72628112;26983.9396962;45990.01896048;59833.953239400005;43643.58942168;10793.57587848;16894.29267936;274062.97013184003
20;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
21;35286.4344;25146.6544;23321.494;39747.9376;51712.878;37719.9816;9328.5976;14601.2832;236865.2608
22;33355.8696;23770.849599999998;22045.546;37573.278399999996;48883.602;35656.2744;8818.2184;13802.4288;223906.0672
23;36001.46197512;25656.21428112;23794.0696962;40553.370960479995;52760.763239399996;38484.32142168;9517.62787848;14897.15667936;241664.98613183998
24;36644.98357512;26114.81588112;24219.3856962;41278.25736048;53703.8552394;39172.223821679996;9687.75427848;15163.441479359999;245984.71733184
25;37860.5208;26981.060800000003;25022.758;42647.4832;55485.246;40471.5912;10009.1032;15666.422400000001;254144.1856
26;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
27;40756.368;29044.768;26936.68;45909.472;59729.16;43567.152;10774.672;16864.704;273582.976
28;44832.004799999995;31949.244799999997;29630.347999999998;50500.4192;65702.076;47923.86719999999;11852.1392;18551.1744;300941.27359999996
29;56022.126824880004;39923.814518880004;37026.1183038;63105.384239520004;82101.3927606;59885.72177832;14810.44732152;23181.56972064;376056.57546816004
30;62385.84757512;44458.87988112;41232.0256962;70273.71336048;91427.53523940001;66688.31982168001;16492.81027848;25814.83347936;418773.96533184004
31;63458.383575119995;45223.21588112;41940.8856962;71481.85736047999;92999.3552394;67834.82382168;16776.354278479997;26258.641479359998;425973.51733183995
32;60741.285224880005;43286.89291888;40145.102303800006;68421.21783952;89017.40076060001;64930.33937832001;16058.040921520002;25134.324920640003;407734.60426816
33;56701.40677512;40407.89908112;37475.0676962;63870.55016048;83096.8892394;60611.84862168;14990.02707848;23462.65107936;380616.33973184
34;54163.068;38598.968;35797.43;61011.272;79376.91;57898.452;14318.972;22412.304;363577.376
35;50623.6992;36076.6592;33458.192;57024.3968;74189.90400000001;54114.9888;13383.276800000001;20947.7376;339818.8544
36;49229.402400000006;35083.0224;32536.674000000003;55453.8096;72146.538;52624.5336;13014.669600000001;20370.787200000002;330459.4368
37;47441.83882488;33809.126518879995;31355.238303799997;53440.232239519995;69526.8327606;50713.68977832;12542.095321519999;19631.10572064;318460.15946816
38;48335.62597512;34446.07828112;31945.9596962;54447.02696048;70836.6932394;51669.11742168;12778.38387848;20000.94867936;324459.83413184
39;48299.86762488;34420.59531888;31922.3263038;54406.74743952;70784.2887606;51630.89297832;12768.93052152;19986.15212064;324219.80106816
40;45690.0336;32560.7136;30197.435999999998;51466.9344;66959.53199999999;48841.0704;12078.9744;18906.2208;306700.9152
41;41221.13002488;29375.97771888;27243.8503038;46432.99703952;60410.2767606;44063.96657832;10897.54012152;17057.01932064;276702.75786816
42;40041.34042488;28535.20811888;26464.104303800003;45104.038639520004;58681.274760600005;42802.812178320004;10585.64172152;16568.83052064;268783.25066816004
43;40827.873975120005;29095.72628112;26983.9396962;45990.01896048;59833.953239400005;43643.58942168;10793.57587848;16894.29267936;274062.97013184003
44;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
45;35286.4344;25146.6544;23321.494;39747.9376;51712.878;37719.9816;9328.5976;14601.2832;236865.2608
46;33355.8696;23770.849599999998;22045.546;37573.278399999996;48883.602;35656.2744;8818.2184;13802.4288;223906.0672
47;36001.46197512;25656.21428112;23794.0696962;40553.370960479995;52760.763239399996;38484.32142168;9517.62787848;14897.15667936;241664.98613183998
48;36644.98357512;26114.81588112;24219.3856962;41278.25736048;53703.8552394;39172.223821679996;9687.75427848;15163.441479359999;245984.71733184
49;37860.5208;26981.060800000003;25022.758;42647.4832;55485.246;40471.5912;10009.1032;15666.422400000001;254144.1856
50;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
51;40756.368;29044.768;26936.68;45909.472;59729.16;43567.152;10774.672;16864.704;273582.976
52;44832.004799999995;31949.244799999997;29630.347999999998;50500.4192;65702.076;47923.86719999999;11852.1392;18551.1744;300941.27359999996
53;56022.126824880004;39923.814518880004;37026.1183038;63105.384239520004;82101.3927606;59885.72177832;14810.44732152;23181.56972064;376056.57546816004
54;62385.84757512;44458.87988112;41232.0256962;70273.71336048;91427.53523940001;66688.31982168001;16492.81027848;25814.83347936;418773.96533184004
55;63458.383575119995;45223.21588112;41940.8856962;71481.85736047999;92999.3552394;67834.82382168;16776.354278479997;26258.641479359998;425973.51733183995
56;60741.285224880005;43286.89291888;40145.102303800006;68421.21783952;89017.40076060001;64930.33937832001;16058.040921520002;25134.324920640003;407734.60426816
57;56701.40677512;40407.89908112;37475.0676962;63870.55016048;83096.8892394;60611.84862168;14990.02707848;23462.65107936;380616.33973184
58;54163.068;38598.968;35797.43;61011.272;79376.91;57898.452;14318.972;22412.304;363577.376
59;50623.6992;36076.6592;33458.192;57024.3968;74189.90400000001;54114.9888;13383.276800000001;20947.7376;339818.8544
60;49229.402400000006;35083.0224;32536.674000000003;55453.8096;72146.538;52624.5336;13014.669600000001;20370.787200000002;330459.4368
61;47441.83882488;33809.126518879995;31355.238303799997;53440.232239519995;69526.8327606;50713.68977832;12542.095321519999;19631.10572064;318460.15946816
62;48335.62597512;34446.07828112;31945.9596962;54447.02696048;70836.6932394;51669.11742168;12778.38387848;20000.94867936;324459.83413184
63;48299.86762488;34420.59531888;31922.3263038;54406.74743952;70784.2887606;51630.89297832;12768.93052152;19986.15212064;324219.80106816
64;45690.0336;32560.7136;30197.435999999998;51466.9344;66959.53199999999;48841.0704;12078.9744;18906.2208;306700.9152
65;41221.13002488;29375.97771888;27243.8503038;46432.99703952;60410.2767606;44063.96657832;10897.54012152;17057.01932064;276702.75786816
66;40041.34042488;28535.20811888;26464.104303800003;45104.038639520004;58681.274760600005;42802.812178320004;10585.64172152;16568.83052064;268783.25066816004
67;40827.873975120005;29095.72628112;26983.9396962;45990.01896048;59833.953239400005;43643.58942168;10793.57587848;16894.29267936;274062.97013184003
68;38146.53397512;27184.886281119998;25211.789696199998;42969.658960479996;55904.403239399995;40777.32942168;10084.71587848;15784.77267936;256064.09013184
69;35286.4344;25146.6544;23321.494;39747.9376;51712.878;37719.9816;9328.5976;14601.2832;236865.2608
70;33355.8696;23770.849599999998;22045.546;37573.278399999996;48883.602;35656.2744;8818.2184;13802.4288;223906.0672
71;36001.46197512;25656.21428112;23794.0696962;40553.370960479995;52760.763239399996;38484.32142168;9517.62787848;14897.15667936;241664.98613183998
72;13192.192799999999;9401.3328;8718.978;14860.171199999999;19333.386;14101.9992;3487.5912;5458.8384;88554.4896
73;13585.45957512;9681.591881119999;8978.8956962;15303.16136048;19909.7252394;14522.38782168;3591.55827848;5621.56947936;91194.34933184
