index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;116527.68006215375;20084.445669249264;28421.385381013108;191181.18566294818;429731.3469609183;193075.94468834906;31642.4757241946;30126.668503873898;1040791.1326527
1;118225.97974396315;20377.160736357873;28835.604815600764;193967.5017262745;435994.34481188364;195889.87538064786;32103.640028035523;30565.741104536814;1055959.8483473
2;117703.40790759341;20287.09144423561;28708.14827014473;193110.1440305069;434067.2018445884;195024.02058184988;31961.738407427805;30430.63716635342;1051292.3896527
3;118225.97974396315;20377.160736357873;28835.604815600764;193967.5017262745;435994.34481188364;195889.87538064786;32103.640028035523;30565.741104536814;1055959.8483473
4;126325.41210748418;21773.16046080215;30811.076123776627;207255.83872593747;465863.4709915027;209309.91046752257;34302.99808447131;32659.740691203227;1128301.6076527
5;143830.7064254506;24790.33313999636;35080.66010376844;235975.90696468236;530419.5807689788;238314.6176382669;39056.4682488622;37185.49970999455;1284653.773
6;155587.9848798471;26816.79088985982;37948.28899508465;255265.49064026945;573778.12960568;257795.37657327508;42249.09508119425;40225.18633478973;1389666.3429999999
7;160813.42890704726;27717.43652706831;39222.787538304205;263838.61750765966;593048.5475791597;266453.47001021326;43668.036792645355;41576.154790602464;1436338.4796527
8;152713.99654352624;26321.436802624034;37247.316230128345;250550.2805079967;563179.4213995407;253033.4349233386;41468.678736209564;39482.155203936054;1363996.7203473
9;143177.5112254525;24677.749902273114;34921.34420132988;234904.24199427897;528010.7243241078;237232.33160770097;38879.096544147265;37016.624853409674;1278819.6246527
10;136253.80670737114;23484.395952815186;33232.63578228564;223544.86336217474;502477.4530281589;225760.3724143271;36999.001170944684;35226.59392922278;1216979.1223473
11;127893.04923473706;22043.354827450614;31193.426642618793;209827.78321601576;471644.61083639617;211907.34499219034;34728.68166211559;33065.03224117592;1142303.2836527
12;125410.97018022941;21615.549331876937;30588.041507373026;205755.55920626255;462491.1875914802;207794.76197342074;34054.68621154197;32423.32399781541;1120134.08
13;126717.3213892974;21840.709052464266;30906.66375348717;207898.82484845704;467308.75595272606;209959.26909868952;34409.418978882386;32761.0635786964;1131802.0266527
14;123451.42377116332;21277.80637356636;30110.10335882032;202540.6285936647;455264.7627853633;204547.96881758605;33522.581739486624;31916.70956034954;1102631.985
15;124235.24233478976;21412.90355689059;30301.278618241402;203826.60083870383;458155.33270781004;205846.68607991992;33735.42352830876;32119.355335335888;1109632.823
16;111432.85939858193;19206.313977641763;27178.746194776082;182822.36607019376;410942.64246501436;184634.28248317883;30259.004096850706;28809.470966462646;995285.6856527
17;109473.31298951585;18868.571019331186;26700.808046223377;179607.43545759592;403716.2176588975;181387.48932734414;29726.899624795362;28302.85652899678;977783.5906526999
18;108950.78034407429;18778.50848206809;26573.361059530314;178750.1420604406;401789.2192200984;180521.69946440926;29585.008646277085;28167.762723102132;973116.482
19;113653.69172583289;19589.091582013472;27720.4126160568;186465.9755306754;419132.6387547789;188314.00303841254;30862.059379209906;29383.63737302021;1015121.5099999999
20;115351.9522167141;19881.799894262916;28134.622491881488;189252.22729538946;425395.4920772481;191127.86879484824;31323.21304096139;29822.699841394377;1030289.8756527
21;114045.60100764611;19656.640173675587;27816.00024576734;187108.961653195;420577.92371600226;188963.36166957946;30968.480273620975;29484.960260513384;1018621.9289999999
22;113392.40580764803;19544.056935952343;27656.684343328787;186037.29668279164;418169.06727113127;187881.07563901355;30791.10856890605;29316.085403928515;1012787.7806527
