index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;23575.284463570388;3030.3941321830557;4720.6967641061665;31860.297008191556;67838.73688552459;21580.80200325778;4393.086587653945;3029.979435757167;160029.2772683928
1;16944.737780237054;2178.096048849722;3393.001214106166;22899.59127485822;48759.09809885791;15511.20333659111;3157.531370987277;2177.7979857571663;115021.0571017261
2;13997.813408651833;1799.2950067058334;2802.9113525605;18917.035480697334;40279.21623891987;12813.590441186667;2608.3929734571666;1799.0487809094998;95017.30367605167
3;13997.813408651833;1799.2950067058334;2802.9113525605;18917.035480697334;40279.21623891987;12813.590441186667;2608.3929734571666;1799.0487809094998;95017.30367605167
4;16207.995636429609;2083.3943678169444;3245.476535893833;21903.937391808442;46639.095834475425;14836.789996742222;3020.244712346055;2083.109264242833;110020.04373160722
5;19154.920008014833;2462.1954099608333;3835.5663974394997;25886.49318596933;55118.97769441347;17534.402892146667;3569.383109876166;2461.8584690904995;130023.79715728166
6;40520.00014198516;5208.487340039166;8113.6935525604995;54759.858414030656;116597.77138558653;37091.98510785333;7550.613840123832;5207.7745809094995;275050.18434271833
7;44203.644555555555;5681.987222222222;8851.303666666667;59738.03822222222;127197.59191111111;40463.991111111114;8237.034777777777;5681.209666666666;300054.8011111111
8;43466.92451357039;5587.288382183056;8703.783414106167;58742.41420819155;125077.65324552459;39789.59800325778;8099.752237653944;5586.5237857571665;295053.9377683928
9;38309.817914207386;4924.387978928055;7671.128369227166;51772.95650291955;110237.89179003099;35068.78555229778;7138.762101234945;4923.714097576167;260047.4442871628
10;36836.37783023705;4734.9902988497215;7376.087864106165;49781.70847485821;105998.01445885791;33719.99933659111;6864.197020987277;4734.3423357571655;250045.7176017261
11;40520.00014198516;5208.487340039166;8113.6935525604995;54759.858414030656;116597.77138558653;37091.98510785333;7550.613840123832;5207.7745809094995;275050.18434271833
12;44203.644555555555;5681.987222222222;8851.303666666667;59738.03822222222;127197.59191111111;40463.991111111114;8237.034777777777;5681.209666666666;300054.8011111111
