index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;203971.98237873006;26218.792799102364;40843.19231318258;275653.4263659851;586936.7839862718;186715.8367793756;38008.728226793144;26215.204869879082;1384563.9476167783
1;135981.2958003607;17479.19188490903;27228.789712194583;183768.9160634678;391291.11512558593;124477.2009155889;25339.147346258473;17476.79993254708;923042.4567125514
2;101986.02986755401;13109.401371290001;20421.603901482;137826.76545377602;293468.50329102884;93357.95379568;19004.371320802;13107.607405998;692282.2363563401
3;84988.35822296167;10924.501142741668;17018.003251235;114855.63787814668;244557.08607585734;77798.29482973334;15836.976100668335;10923.006171665;576901.8636302834
4;84988.35822296167;10924.501142741668;17018.003251235;114855.63787814668;244557.08607585734;77798.29482973334;15836.976100668335;10923.006171665;576901.8636302834
5;101986.02986755401;13109.401371290001;20421.603901482;137826.76545377602;293468.50329102884;93357.95379568;19004.371320802;13107.607405998;692282.2363563401
6;271962.6689570994;34958.3937132957;54457.59491417058;367537.93666850246;782582.4528469576;248954.47264316224;50678.309107327805;34953.60980721108;1846085.4385210047
7;577920.6812033835;74286.58788368807;115722.39112883517;781018.1284882637;1662987.7401242582;529028.2632182179;107691.40865492295;74276.42208308817;3922931.6224941234
8;407943.9647574601;52437.58559820473;81686.38462636516;551306.8527319703;1173873.5679725436;373431.6735587512;76017.45645358629;52430.409739758165;2769127.8952335566
9;220969.65402332236;28403.693027650697;44246.79296342958;298624.55394161446;635848.2012014432;202275.49574532223;41176.12344692681;28399.806104212083;1499944.3203428348
10;186974.3107341377;24033.892570554028;37439.59166293558;252682.2987903558;538025.3667711003;171156.1778134289;34841.33300665947;24030.603635546082;1269183.5748907214
11;169976.63908954538;21848.9923420057;34035.99101268858;229711.17121472646;489113.9495559289;155596.51884748225;31673.93778652581;21846.00240121308;1153803.2021646649
12;169976.63908954538;21848.9923420057;34035.99101268858;229711.17121472646;489113.9495559289;155596.51884748225;31673.93778652581;21846.00240121308;1153803.2021646649
13;152978.967444953;19664.092113457362;30632.39036244158;206740.0436390971;440202.5323407573;140036.85988153555;28506.542566392138;19661.40116688008;1038422.829438608
14;186974.3107341377;24033.892570554028;37439.59166293558;252682.2987903558;538025.3667711003;171156.1778134289;34841.33300665947;24030.603635546082;1269183.5748907214
15;441939.3080466447;56807.386055301395;88493.58592685916;597249.1078832289;1271696.4024028864;404550.99149064446;82352.24689385362;56799.612208424165;2999888.6406856696
16;747897.3202929287;96135.58022569375;149758.38214152373;1010729.29970299;2152101.689680187;684624.7820656999;139365.34644144875;96122.42448430124;5076734.824658788
17;883878.6160932895;113614.77211060279;176987.17185371832;1194498.2157664578;2543392.804805773;809101.9829812889;164704.49378770724;113599.22441684833;5999777.281371339
18;883878.6160932895;113614.77211060279;176987.17185371832;1194498.2157664578;2543392.804805773;809101.9829812889;164704.49378770724;113599.22441684833;5999777.281371339
19;798890.3352267058;102690.28091133876;159969.18409226474;1079642.682429878;2298835.9413257013;731303.7589635401;148867.53210184976;102676.22818730025;5422875.942836958
20;764894.991937521;98320.48045424209;153161.98279177074;1033700.4272786194;2201013.1068953583;700184.4410316467;142532.7416615824;98307.02571863424;5192115.1973848445
21;679906.6337145594;87395.97931150043;136143.97954053574;918844.7894004727;1956456.0208195013;622386.1462019134;126695.7655609141;87384.01954696924;4615213.333754561
22;560923.0095587911;72101.68765513973;112318.79047858817;758047.0009126343;1614076.3229090867;513468.6042522711;104524.01343478929;72091.82084875516;3807551.249768066
