index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;1069.8810339539998;117.66067381999999;184.05178380599997;1194.102712532;3008.688922002;1048.6983576139999;209.26477437999998;115.78610103199999;6948.134339961999
1;534.94107484593;58.8303982619;92.02598787327;597.05197890794;1504.34602982409;524.34972563063;104.6324963071;57.89311089044;3474.07079295229
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;534.94107484593;58.8303982619;92.02598787327;597.05197890794;1504.34602982409;524.34972563063;104.6324963071;57.89311089044;3474.07079295229
5;1069.8810339539998;117.66067381999999;184.05178380599997;1194.102712532;3008.688922002;1048.6983576139999;209.26477437999998;115.78610103199999;6948.134339961999
6;5349.4107484593;588.303982619;920.2598787327;5970.5197890794;15043.4602982409;5243.4972563063;1046.324963071;578.9311089044;34740.7079295229
7;11768.691373493999;1294.26741202;2024.569621866;13135.129837852;33095.578142022;11535.681933754;2301.91251818;1273.647111352;76429.477739582
8;10698.810339540001;1176.6067382;1840.51783806;11941.02712532;30086.889220020003;10486.98357614;2092.6477438;1157.86101032;69481.34339962
9;10698.810339540001;1176.6067382;1840.51783806;11941.02712532;30086.889220020003;10486.98357614;2092.6477438;1157.86101032;69481.34339962
10;9628.929305586;1058.94606438;1656.466054254;10746.924412788;27078.200298018;9438.285218526;1883.3829694199999;1042.074909288;62533.209059658
11;7489.167237678;823.62471674;1288.362486642;8358.718987724;21060.822454014;7340.888503298;1464.85342066;810.502707224;48636.940379734
12;9628.929305586;1058.94606438;1656.466054254;10746.924412788;27078.200298018;9438.285218526;1883.3829694199999;1042.074909288;62533.209059658
13;7489.167237678;823.62471674;1288.362486642;8358.718987724;21060.822454014;7340.888503298;1464.85342066;810.502707224;48636.940379734
14;8559.048271631998;941.2853905599999;1472.4142704479998;9552.821700256;24069.511376016;8389.586860911999;1674.1181950399998;926.2888082559999;55585.07471969599
15;8559.048271631998;941.2853905599999;1472.4142704479998;9552.821700256;24069.511376016;8389.586860911999;1674.1181950399998;926.2888082559999;55585.07471969599
16;10698.810339540001;1176.6067382;1840.51783806;11941.02712532;30086.889220020003;10486.98357614;2092.6477438;1157.86101032;69481.34339962
17;13908.453441402;1529.58875966;2392.673189478;15523.335262916;39112.955986026;13633.078648982;2720.44206694;1505.219313416;90325.746419506
18;12838.572407448;1411.92808584;2208.621405672;14329.232550384;36104.267064024;12584.380291368001;2511.1772925600003;1389.433212384;83377.61207954401
19;9628.929305586;1058.94606438;1656.466054254;10746.924412788;27078.200298018;9438.285218526;1883.3829694199999;1042.074909288;62533.209059658
