index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;294108.67702686;24325.91737326;39861.160555559996;405583.51956912;1238272.5541404;420436.72768488;43422.89923638;29782.19790558;2495793.65349204
1;303864.4474;25132.8234;41183.3804;419036.9808;1279346.8360000001;434382.8792;44863.264200000005;30770.092200000003;2578580.7036
2;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
3;327106.204;27055.164;44333.384;451087.968;1377200.56;467607.632;48294.731999999996;33123.612;2775809.256
4;359816.8244;29760.680399999997;48766.7224;496196.76479999995;1514920.616;514368.39519999997;53124.2052;36435.9732;3053390.1816
5;449627.53417314;37188.981826740004;60938.954644440004;620048.07083088;1893046.6138596002;642755.36191512;66384.07036362;45530.435694420004;3815520.02330796
6;500702.06902686;41413.389373260005;67861.19255556;690481.18356912;2108083.4341404;715767.8636848801;73924.83523638001;50702.37390558;4248936.34149204
7;509310.12702685996;42125.36737326;69027.86055556;702351.9195691199;2144325.5541403997;728073.32768488;75195.74923638;51574.047905579995;4321983.95349204
8;487502.98937314004;40321.68502674;66072.29384444;672279.30923088;2052511.9418596001;696899.40351512;71976.09196362001;49365.80129442;4136929.51610796
9;455079.36162686;37639.90597326;61677.85215556;627566.2827691201;1916000.1981404;650548.90448488;67188.99103638;46082.50170558;3861783.9978920403
10;434706.929;35954.888999999996;58916.734;599472.168;1830227.0599999998;621425.932;64181.157;44019.537;3688904.406
11;406300.3376;33605.361600000004;55066.729600000006;560298.7392000001;1710628.064;580817.9008000001;59987.1408;41143.012800000004;3447847.2864
12;395109.86220000003;32679.790200000003;53550.061200000004;544866.7824;1663513.3080000002;564820.7976;58334.952600000004;40009.8366;3352885.3908
13;380763.07017314;31493.15782674;51605.61064444;525082.1828308799;1603109.6538596;544311.64991512;56216.75836362;38557.04369442;3231139.12730796
14;387936.50922685995;32086.47757326;52577.841755559995;534974.5419691199;1633311.6621404;554566.28528488;57275.86183638;39283.444505579995;3292012.62429204
15;387649.51657314;32062.74022674;52538.94504444;534578.77163088;1632103.3498596;554156.02111512;57233.48956362;39254.38289442;3289577.21690796
16;366703.2708;30330.2628;49700.0568;505693.3536;1543914.312;524212.76639999996;54140.9364;37133.3124;3111828.2712
17;330836.33377314;27363.68542674;44838.93624444;456231.91403088;1392905.3578596;472939.95871512;48845.45716362;33501.33449442;2807462.97770796
18;321367.46997314;26580.50962674;43555.60144444;443174.10443088;1353039.0258596002;459403.94831512;47447.45176362;32542.493094420002;2727110.60450796
19;327680.10322686;27102.63157326;44411.16575556;451879.38996912003;1379616.8221404;468428.03728488;48379.463836380004;33181.72650558;2780679.3402920403
20;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
21;283205.1082;23424.0762;38383.3772;390547.2144;1192365.748;404849.7656;41813.0706;28678.0746;2403266.4348
22;267710.6038;22142.5158;36283.3748;369179.8896;1127129.932;382699.9304;39525.4254;27109.0614;2271780.7332
23;288943.84222686;23898.73057326;39161.159755559995;398461.07796912;1216527.2821404;413053.44928487996;42660.35083638;29259.19350558;2451965.08629204
24;294108.67702686;24325.91737326;39861.160555559996;405583.51956912;1238272.5541404;420436.72768488;43422.89923638;29782.19790558;2495793.65349204
25;303864.4474;25132.8234;41183.3804;419036.9808;1279346.8360000001;434382.8792;44863.264200000005;30770.092200000003;2578580.7036
26;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
27;327106.204;27055.164;44333.384;451087.968;1377200.56;467607.632;48294.731999999996;33123.612;2775809.256
28;359816.8244;29760.680399999997;48766.7224;496196.76479999995;1514920.616;514368.39519999997;53124.2052;36435.9732;3053390.1816
29;449627.53417314;37188.981826740004;60938.954644440004;620048.07083088;1893046.6138596002;642755.36191512;66384.07036362;45530.435694420004;3815520.02330796
30;500702.06902686;41413.389373260005;67861.19255556;690481.18356912;2108083.4341404;715767.8636848801;73924.83523638001;50702.37390558;4248936.34149204
31;509310.12702685996;42125.36737326;69027.86055556;702351.9195691199;2144325.5541403997;728073.32768488;75195.74923638;51574.047905579995;4321983.95349204
32;487502.98937314004;40321.68502674;66072.29384444;672279.30923088;2052511.9418596001;696899.40351512;71976.09196362001;49365.80129442;4136929.51610796
33;455079.36162686;37639.90597326;61677.85215556;627566.2827691201;1916000.1981404;650548.90448488;67188.99103638;46082.50170558;3861783.9978920403
34;434706.929;35954.888999999996;58916.734;599472.168;1830227.0599999998;621425.932;64181.157;44019.537;3688904.406
35;406300.3376;33605.361600000004;55066.729600000006;560298.7392000001;1710628.064;580817.9008000001;59987.1408;41143.012800000004;3447847.2864
36;395109.86220000003;32679.790200000003;53550.061200000004;544866.7824;1663513.3080000002;564820.7976;58334.952600000004;40009.8366;3352885.3908
37;380763.07017314;31493.15782674;51605.61064444;525082.1828308799;1603109.6538596;544311.64991512;56216.75836362;38557.04369442;3231139.12730796
38;387936.50922685995;32086.47757326;52577.841755559995;534974.5419691199;1633311.6621404;554566.28528488;57275.86183638;39283.444505579995;3292012.62429204
39;387649.51657314;32062.74022674;52538.94504444;534578.77163088;1632103.3498596;554156.02111512;57233.48956362;39254.38289442;3289577.21690796
40;366703.2708;30330.2628;49700.0568;505693.3536;1543914.312;524212.76639999996;54140.9364;37133.3124;3111828.2712
41;330836.33377314;27363.68542674;44838.93624444;456231.91403088;1392905.3578596;472939.95871512;48845.45716362;33501.33449442;2807462.97770796
42;321367.46997314;26580.50962674;43555.60144444;443174.10443088;1353039.0258596002;459403.94831512;47447.45176362;32542.493094420002;2727110.60450796
43;327680.10322686;27102.63157326;44411.16575556;451879.38996912003;1379616.8221404;468428.03728488;48379.463836380004;33181.72650558;2780679.3402920403
44;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
45;283205.1082;23424.0762;38383.3772;390547.2144;1192365.748;404849.7656;41813.0706;28678.0746;2403266.4348
46;267710.6038;22142.5158;36283.3748;369179.8896;1127129.932;382699.9304;39525.4254;27109.0614;2271780.7332
47;288943.84222686;23898.73057326;39161.159755559995;398461.07796912;1216527.2821404;413053.44928487996;42660.35083638;29259.19350558;2451965.08629204
48;294108.67702686;24325.91737326;39861.160555559996;405583.51956912;1238272.5541404;420436.72768488;43422.89923638;29782.19790558;2495793.65349204
49;303864.4474;25132.8234;41183.3804;419036.9808;1279346.8360000001;434382.8792;44863.264200000005;30770.092200000003;2578580.7036
50;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
51;327106.204;27055.164;44333.384;451087.968;1377200.56;467607.632;48294.731999999996;33123.612;2775809.256
52;359816.8244;29760.680399999997;48766.7224;496196.76479999995;1514920.616;514368.39519999997;53124.2052;36435.9732;3053390.1816
53;449627.53417314;37188.981826740004;60938.954644440004;620048.07083088;1893046.6138596002;642755.36191512;66384.07036362;45530.435694420004;3815520.02330796
54;500702.06902686;41413.389373260005;67861.19255556;690481.18356912;2108083.4341404;715767.8636848801;73924.83523638001;50702.37390558;4248936.34149204
55;509310.12702685996;42125.36737326;69027.86055556;702351.9195691199;2144325.5541403997;728073.32768488;75195.74923638;51574.047905579995;4321983.95349204
56;487502.98937314004;40321.68502674;66072.29384444;672279.30923088;2052511.9418596001;696899.40351512;71976.09196362001;49365.80129442;4136929.51610796
57;455079.36162686;37639.90597326;61677.85215556;627566.2827691201;1916000.1981404;650548.90448488;67188.99103638;46082.50170558;3861783.9978920403
58;434706.929;35954.888999999996;58916.734;599472.168;1830227.0599999998;621425.932;64181.157;44019.537;3688904.406
59;406300.3376;33605.361600000004;55066.729600000006;560298.7392000001;1710628.064;580817.9008000001;59987.1408;41143.012800000004;3447847.2864
60;395109.86220000003;32679.790200000003;53550.061200000004;544866.7824;1663513.3080000002;564820.7976;58334.952600000004;40009.8366;3352885.3908
61;380763.07017314;31493.15782674;51605.61064444;525082.1828308799;1603109.6538596;544311.64991512;56216.75836362;38557.04369442;3231139.12730796
62;387936.50922685995;32086.47757326;52577.841755559995;534974.5419691199;1633311.6621404;554566.28528488;57275.86183638;39283.444505579995;3292012.62429204
63;387649.51657314;32062.74022674;52538.94504444;534578.77163088;1632103.3498596;554156.02111512;57233.48956362;39254.38289442;3289577.21690796
64;366703.2708;30330.2628;49700.0568;505693.3536;1543914.312;524212.76639999996;54140.9364;37133.3124;3111828.2712
65;330836.33377314;27363.68542674;44838.93624444;456231.91403088;1392905.3578596;472939.95871512;48845.45716362;33501.33449442;2807462.97770796
66;321367.46997314;26580.50962674;43555.60144444;443174.10443088;1353039.0258596002;459403.94831512;47447.45176362;32542.493094420002;2727110.60450796
67;327680.10322686;27102.63157326;44411.16575556;451879.38996912003;1379616.8221404;468428.03728488;48379.463836380004;33181.72650558;2780679.3402920403
68;306159.95822686;25322.686573259998;41494.49575556;422202.54996912;1289011.5221404;437664.37728487997;45202.17883638;31002.54150558;2598060.31029204
69;283205.1082;23424.0762;38383.3772;390547.2144;1192365.748;404849.7656;41813.0706;28678.0746;2403266.4348
70;267710.6038;22142.5158;36283.3748;369179.8896;1127129.932;382699.9304;39525.4254;27109.0614;2271780.7332
71;288943.84222686;23898.73057326;39161.159755559995;398461.07796912;1216527.2821404;413053.44928487996;42660.35083638;29259.19350558;2451965.08629204
