index;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia;TI
0;372008.5035776756;58833.07768064522;97554.9818533916;387000.6891336611;1074981.7640679262;275724.91831832274;55210.84793559033;43872.756029435135;2365187.5387333147
1;384348.26034529996;60784.60798569999;100790.9421499;399837.7461549;1110639.587399;284870.88781660004;57042.226594700005;45328.043026700005;2443642.3016140005
2;387251.7773590756;61243.79867724522;101552.3563295916;402858.2767998611;1119029.793029926;287022.91386912274;57473.145874190326;45670.46878403513;2462102.530865315
3;413746.00263799995;65433.85562199999;108500.164354;430420.236654;1195589.35754;306659.879236;61405.229762;48795.060482;2630549.7864400004
4;455120.60290179995;71977.24118419999;119350.18078939998;473462.26031939994;1315148.293294;337325.86715959996;67545.7527382;53674.5665302;2893604.7650840003
5;568719.2497887244;89942.84668095475;149140.1286778084;591639.0068375389;1643410.880444074;421522.80710247724;84405.25341800967;67071.80254016488;3615851.9756986857
6;633321.7684016756;100159.72333664521;166081.40144539162;658845.0491256611;1830090.8319879263;469404.84204632277;93993.09831159034;74690.68896543514;4026587.403853315
7;644209.8211026755;101881.66690564521;168936.6689283916;670171.897458661;1861553.709817926;477474.8388683227;95609.02541059033;75974.76950443513;4095812.3982333145
8;616626.6816731243;97519.39838455476;161703.3056030084;641477.139502739;1781847.542896074;457030.7931192773;91515.33265360967;72721.75691176488;3920441.950970686
9;575615.0890863757;91033.42242094522;150948.4837854916;598812.7529607611;1663337.579488926;426633.85888972273;85428.68468689034;67885.06210873513;3659694.933639315
10;549846.6614005;86958.15023449999;144191.0078915;572005.8408165;1588875.330415;407534.83951099997;81604.3184995;64846.0672195;3495862.21619
11;513916.0874872;81275.73645679999;134768.6251976;534627.2413176;1485047.833576;380903.8499984;76271.7590728;60608.601440800005;3267419.7347360007
12;499761.6189759;79037.2098171;131056.7774697;519902.3384847;1444146.0923970002;370412.85412980005;74171.05384410001;58939.296740100006;3177427.2420420004
13;481614.8281807243;76167.29812895476;126297.98881380838;501024.22017353884;1391707.857804074;356962.8325264772;71477.83662600967;56799.15822816487;3062052.0206586854
14;490688.2780185756;77602.26258274521;128677.3974180916;510463.3359633611;1417927.132414926;363687.8836781227;72824.45331469033;57869.23390453513;3119739.977475315
15;490325.2703415243;77544.85298415476;128582.20280020838;510085.6988399389;1416878.160068074;363418.82998407725;72770.57830520967;57826.42265936487;3117432.0161626856
16;463831.04506259994;73354.79603939998;121634.39477579998;482523.7389858;1340318.595558;343781.8646172;68838.4944174;54701.8309614;2948984.760588
17;418464.12251492427;66180.02542875476;109737.43741240838;435328.4998421389;1209223.166390074;310156.85095887724;62105.45945180967;49351.49110196487;2660547.053254686
18;406487.2645438243;64285.88750285476;106596.64318110839;422868.9666758389;1174614.000777074;301279.85445467726;60327.939642909674;47939.00250906487;2584399.559436686
